,Razão Social,Nome de Pregão,Segmento,Código,Categoria
0,3M COMPANY,3M,BDR / CDADRN,MMMC,
1,ABBOTT LABORATORIES,ABBOTT,BDR / CDADRN,ABTT,
2,ABBVIE INC.,ABBVIE,BDR / CDADRN,ABBV,
3,ABN AMRO BANK N.V,ABN AMRO,BDR / CDADRN,ABAM,
4,ACADEMY SPORTS & OUTDOORS INC,ACADEMY SPOR,BDR / CDADRN,A2SO,
5,ACCENTURE PLC,ACCENTURE,BDR / CDADRN,ACNB,
6,ADAPTHEALTH CORP,ADAPTHEALTH,BDR / CDADRN,A2HC,
7,ADOBE INC,ADOBE INC,BDR / CDADRN,ADBE,
8,ADVANCE AUTO PARTS INC,ADVANCE AUTO,BDR / CDADRN,A1AP,
9,ADVANCED MICRO DEVICES INC,ADVANCED MIC,BDR / CDADRN,A1MD,
10,AEGON LTD.,AEGON LTD,BDR / CDADRN,A1EG,
11,AES CORP,AES CORP,BDR / CDADRN,A1ES,
12,AFLAC INC,AFLAC INC,BDR / CDADRN,A1FL,
13,AFYA LTD,AFYA LTD,BDR / CDADRN,A2FY,
14,AGILENT TECHNOLOGIES INC,AGILENT TECH,BDR / CDADRN,A1GI,
15,AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS,BDR / CDADRN,A1PD,
16,AIRBNB INC,AIRBNB,BDR / CDADRN,AIRB,
17,AKAMAI TECHNOLOGIES INC,AKAMAI TECHN,BDR / CDADRN,A1KA,
18,AKZO NOBEL,AKZO NOBEL,BDR / CDADRN,AKZA,
19,ALASKA AIR GROUP INC,ALASKA AIR G,BDR / CDADRN,A1LK,
20,ALBEMARLE CORP,ALBEMARLE CO,BDR / CDADRN,A1LB,
21,ALCON INC,ALCON INC,BDR / CDADRN,A2LC,
22,ALEXANDRIA REAL ESTATE EQUITIES INC,ALEXANDRIA R,BDR / CDADRN,A1RE,
23,ALIBABA GROUP HOLDING LTD,ALIBABAGR,BDR / CDADRN,BABA,
24,ALIGN TECHNOLOGY INC,ALIGN TECHNO,BDR / CDADRN,A1LG,
25,ALLEGION PLC,ALLEGION PLC,BDR / CDADRN,A1GN,
26,ALLFUNDS GROUP,ALLFUNDS,BDR / CDADRN,ALFG,
27,ALLIANT ENERGY CORP,ALLIANT ENER,BDR / CDADRN,A1EN,
28,ALLSTATE CORP,ALLSTATE COR,BDR / CDADRN,A1TT,
29,ALNYLAM PHARMACEUTICALS INC,ALNYLAM PHAR,BDR / CDADRN,A1LN,
30,ALPHABET INC.,ALPHABET,BDR / CDADRN,GOGL,
31,ALTERYX INC,ALTERYX INC,BDR / CDADRN,A1YX,
32,ALTRIA GROUP. INC.,ALTRIA GROUP,BDR / CDADRN,MOOO,
33,AMAZON.COM. INC,AMAZON,BDR / CDADRN,AMZO,
34,AMBARELLA INC,AMBARELLA IN,BDR / CDADRN,A2MB,
35,AMCOR PLC,AMCOR PLC,BDR / CDADRN,A1CR,
36,AMDOCS LTD,AMDOCS LTD,BDR / CDADRN,D2OX,
37,AMEDISYS INC,AMEDISYS INC,BDR / CDADRN,A2ME,
38,AMEREN CORP,AMEREN CORP,BDR / CDADRN,A1EE,
39,AMERICAN AIRLINES GROUP INC.,AMERICAN AIR,BDR / CDADRN,AALL,
40,AMERICAN ELECTRIC POWER CO INC,AMERICAN ELE,BDR / CDADRN,A1EP,
41,AMERICAN EXPRESS COMPANY,AMERICAN EXP,BDR / CDADRN,AXPB,
42,AMERICAN INTERNATIONAL GROUP INC.,AIG GROUP,BDR / CDADRN,AIGB,
43,AMERICAN TOWER CORP,AMERICAN TOW,BDR / CDADRN,T1OW,
44,AMERICAN WATER WORKS CO INC,AMERICAN WAT,BDR / CDADRN,A1WK,
45,AMERIPRISE FINANCIAL INC,AMERIPRISE F,BDR / CDADRN,A1MP,
46,AMETEK INC,AMETEK INC,BDR / CDADRN,A1ME,
47,AMGEN INC.,AMGEN,BDR / CDADRN,AMGN,
48,AMPHENOL CORP,AMPHENOL COR,BDR / CDADRN,A1PH,
49,ANALOG DEVICES INC,ANALOG DEVIC,BDR / CDADRN,A1DI,
50,ANGLO AMERICAN PLC,ANGLOAMERICA,BDR / CDADRN,AAGO,
51,ANHEUSER-BUSCH INBEV SA/NV,AB INBEV,BDR / CDADRN,ABUD,
52,ANNALY CAPITAL MANAGEMENT INC,ANNALY CAPTL,BDR / CDADRN,N2LY,
53,ANSYS INC,ANSYS INC,BDR / CDADRN,A1NS,
54,AO SMITH CORP,AO SMITH COR,BDR / CDADRN,A1OS,
55,AON PLC,AON PLC,BDR / CDADRN,A1ON,
56,APA CORP,APA CORP,BDR / CDADRN,A1PA,
57,APARTMENT INVESTMENT & MANAGEMENT CO,APARTMENT IN,BDR / CDADRN,A1IV,
58,APPLE INC.,APPLE,BDR / CDADRN,AAPL,
59,APPLIED MATERIALS INC,APPLIED MATE,BDR / CDADRN,A1MT,
60,APTARGROUP INC,APTARGROUP,BDR / CDADRN,A2TR,
61,APTIV PLC,APTIV PLC,BDR / CDADRN,APTV,
62,ARCELORMITTAL,ARCELOR,BDR / CDADRN,ARMT,
63,ARCHER-DANIELS-MIDLAND CO,ARCHER DANIE,BDR / CDADRN,A1DM,
64,ARES MANAGEMENT CORP,ARES MANAGEM,BDR / CDADRN,A2RE,
65,ARGENX SE,ARGENX SE,BDR / CDADRN,A1RG,
66,ARISTA NETWORKS INC,ARISTA NETWO,BDR / CDADRN,A1NE,
67,ARMSTRONG WORLD INDUSTRIES INC,ARMSTRONG,BDR / CDADRN,AWII,
68,ARROW ELECTRONICS INC,ARROW ELECTR,BDR / CDADRN,A2RW,
69,ARROWHEAD PHARMACEUTICALS INC,ARROWHEAD PH,BDR / CDADRN,A2RR,
70,ARTHUR J GALLAGHER & CO,ARTHUR J GAL,BDR / CDADRN,A1JG,
71,ASCENDIS PHARMA A/S,ASCENDIS PHA,BDR / CDADRN,A1SN,
72,ASML HOLDING NV,ASML HOLD,BDR / CDADRN,ASML,
